english	thai	paiboon
Public Works Department	ยธ.	"I need to convert the Thai word ""ยธ."" to Paiboon romanization.

Breaking this down:
- ย"
UNICEF	ยูนิเซฟ	yuu-ni-sef
UNESCO	ยูเนสโก	yuu-nes-ko
UPS	ยูพีเอส	yuu-pii-èe
UV	ยูวี	yuu-wii
UHT	ยูเอชที	yuu-ee-tii
UN	ยูเอ็น	yuu-èn
unidentified flying object	ยูเอฟโอ	yuu-ee-foo
government service	ร.	r.
factory	ร.ง.	r-ng
Territorial Defense Department	ร.ด.	r-d
sub-lieutenant	ร.ต.	r.-dt.
police sub- lieutenant	ร.ต.ต.	r-dt-dt
police lieutenant	ร.ต.ท.	r-dt-t
police captain	ร.ต.อ.	r-dt-o
lieutenant	ร.ท.	r.-t.
bachelor of public administration	ร.บ.	r-b
printing office	ร.พ.	rɔ́ɔp
Royal State Railways	ร.ฟ.ล.	r-f-l
hotel	ร.ร.	ror-ror
school	ร.ร.	r.-r.
His Majesty's Ship	ร.ล.	r-l
Bangkok Era	ร.ศ.	ror-sor
The Express Transportation Organization of Thailand	ร.ส.พ.	r-s-p
captain	ร.อ.	r-ɔ
pilot officer	ร.อ.ต.	r-o-dt
flying office	ร.อ.ท.	r-ɔ-t
flight lieutenant	ร.อ.อ.	r-ɔ-ɔ
constitution	รธน.	rá-t̄ʉn
The Royal Institute	รบ.	rób
hospital	รพ.	r-p
The Office of Accelerated Rural Development	รพช.	r-p-ch
The State Railway of Thailand	รฟท.	r-f-t
Metropolitan Rapid Transit Authority	รฟม.	r-f-m
deputy minister	รมช.	rom-chá
minister	รมต.	rom-dot
minister	รมว.	rom-wo.
Ministry of Labour and Social Welfare	รส	rót
government enterprise	รสก.	"I need to clarify: ""รสก."" appears to be incomplete or contains a period that isn't a standard Thai character. 

If"
Royal Aide-de-Camp Department Ministry of Defence	รอ.	rɔɔ
Read Only Memory	รอม	rom
quality control	ระบบควบคุมคุณภาพ	rá-bòp-kuap-kum-kun-phaap
quality assurance	ระบบประกันคุณภาพ	rá-bòp-bprà-gaan-kun-na-phaap
Random Access Memory	แรม	rɛɛm
litre; liter	ล.	l
Local Area Network	แลน	lɛɛn
teacher's college	ว.ค.	wor-kor
day month year	ว.ด.ป.	wɔ́ɔ-dii-bpee
day month year	ว/ด/ป	w / d / bp
teacher's college	วค.	wá-kaa
Thailand Institute of Scientific and Technological Research	วท	wót
bachelor of science	วท.บ.	wat-bor
Ministry of Science, Technology and Environment	วว	wua
year 2000	วายทูเค	wai-tuu-khee
research and development	วิจัยและพัฒนา	wi-jai-lɛ̌-pat-ta-naa
video	วีดีโอ	wii-dii-o
very superior old	วีเอสโอ	wii-ee-soo
very important person	วีไอพี	wii-ai-pii
World Wide Web	เวิร์ลไวด์เว็บ	wə̂ən-wai-dèp
value added tax	แวต	wɛ̂t
professor	ศ.	s
bachelor of fine arts	ศ.บ.	s-b
customs house; customs post	ศก.	sók
The Customs Department	ศก.	sók
Ministry of Education	ศธ	"I need to convert the Thai abbreviation ""ศธ"" to Paiboon romanization.

Breaking it down:
-"
bachelor of liberal arts	ศศ.บ.	s.b.
The Supreme Court	ศาลฎีกา	sǎan-dii-gaa
The Civil Court Ministry of Justice	ศาลแพ่ง	sǎan-pɛɛŋ
The Criminal Court	ศาลอาญา	sǎan-aa-yaa
The Court of Appeals	ศาลอุทธรณ์	sǎan-ut-tɔɔn
a monetary Thai currency	ส.ต.	s-dt
police lance corporal	ส.ต.ต.	s-dt-dt
police corporal	ส.ต.ท.	s-dt-t
police sergeant	ส.ต.อ.	s-dt-ɔ
Agricultural Land Reform Office	ส.ป.ก.	s-bp-g
senator	ส.ว.	s.-w.
member of the House of Representatives	ส.ส.	s-s
military police	ส.ห.	s-h
Office of the Board of Investment	สกท.	s-g-t
Board of Investment	สกท.	s-gɔ̀ɔt
Office of the National Education Commission	สกศ.	sók-sàt
National Intelligence Agency	สขช.	s-k-ch
Office of the Consumer Protection Board	สคบ.	s-kop
member of the Provincial Council	สจ.	sɔ̀ɔ-jɔ̀ɔ
Office of the Commission for the Management of Land Traffic	สจร.	s-j-r
Office of Private Education Commission	สช.	s-ch
Office of the Auditor General of Thailand	สตง.	sà-dtoŋ
Ministry of Public Health	สธ	sà-tɔɔ
police station	สน.	sɔ̀n
office	สนง.	sà-nong
principal business office; head office	สนญ.	sǒn-yon
Office of the National Primary Education Commission	สปช.	s-bp-ch
Office of the Permanent Secretary, The Prime Minister's Office	สปน.	sà-bpon
Social Security Office	สปส.	s-bp-s
The Secretariat of the House of Representatives	สผ	s-p
Office of Environmental Policy and Planning	สผ.	sà-pò
National Energy Policy Office	สพช.	sɔ́ɔp-pɔ́ɔ-chɔɔ
Office of the National Security Council	สมช.	som-chon
Thai Industrial Standards Institute	สมอ.	sà-mɔɔ
National Youth Bureau	สยช.	sà-yá-chon
The Secretariat of the Cabinet	สลค.	sɔɔn-lá-kɔ̀ɔp
The Secretariat of the Prime Minister	สลน	sà-lon
The Secretariat of the Senate	สว	sà-wàt
Office of the National Culture Commission	สวช.	sà-wá-chɔɔ
chief of the police station	สวญ.	s-wyn
National Science and Technology Development Agency	สวทช.	sà-wá-tá-chɔɔ
police protector	สวป.	sà-wáp
police investigator	สวส.	sà-wà-sòt
The Fiscal Policy Office	สศค.	s-s-k
The Fiscal Policy Office	สศค.	s-sók
Office of the National Economic and Social Development Board	สศช.	s-s-ch
National Statistical Office	สสช.	s-s-ch
The Office of the Maritime Promotion Commission	สำนักงานคณะกรรมการส่งเสริมการพาณิชย์นาวี	sam-nák-ngaan-ka-na-gam-maa-kaan-sòŋ-sə-
The Government Lottery Office	สำนักสลากกินแบ่งรัฐบาล	sǎm-nàk-sà-làak-gin-bɛ̀ŋ-rát
chief of military staff	เสธ.	sèt
limited partnership	หจก.	hɔ̀ɔ-jɔ̀ɔ-gɔ̀
chief	หน.	hɔ̀ɔ-nɔ̀ɔ
district	อ.	ɔ
teacher; master; professor	อ.	o.
teacher; master; professor	อ.จ.	ɔ-jɔɔ
bachelor of arts	อ.บ.	o.-bo.
Dairy Farming Promotion Organization of Thailand	อ.ส.ค.	ɔ-sɔ-kɔ
The Mass Communication Organization of Thailand	อ.ส.ม.ท.	ɔ-sɔ-mɔ-tɔ
The Forest Industry Organization	อ.อ.ป.	ɔ-ɔ-bp
Ministry of Industry	อก	òk
public prosecutor	อก.	òk
Public Warehouse Organization	อคส.	a-kat-sa-rá
The Glass Organization	องค์การแก้ว	oŋ-kaan-gɛ̂w
teacher; master; professor	อจ.	òt-chon
head-master; principal	อจญ.	à-jan
Asian Games	อชก.	a-chok
The Marketing Organization	อต.	ɔt
The Meteorological Department	อต.	ɔ̀t
The Marketing Organization for Farmers	อตก.	à-dtòk
The War Veterans Organization of Thailand	อผศ.	ɔ-pɔ-sɔ
The Food and Drug Administration	อย.	ɔy
Office of the Attorney General	อส.	ɔ̀t-sà
Fish Marketing Organization	อสป.	a-sà-bp
master of arts	อักษรศาสตรมหาบัณฑิต	ak-sɔ̀ɔn-sàat-má-hǎa-ban-dit
bachelor of arts	อักษรศาสตรบัณฑิต	ak-sɔ̀ɔn-sàat-ba-nit
Association of Southeast Asian Nations	อาเซียน	aa-sia-n
ASEAN Free Trade Area	อาฟตา	aa-ftaa
Emotional Intelligence	อีคิว	ii-kiu
Express Mail Service	อีเอ็มเอส	ii-èm-èe
Human Immune-deficiency Virus	เอชไอวี	ee-chi-ai-wii
South-east Asia	เอเชียตะวันออกเฉียงใต้	ee-chia-dtà-wan-ɔɔk-chiaŋ-dtâi
Acquired Immune Deficiency Syndrome	เอดส์	èet
Non Government Organizations	เอ็นจีโอ	en-jii-o
National Basketball Association	เอ็นบีเอ	èn-bii-èe
anti-lock brake system	เอบีเอส	ee-bii-ee
frequency modulation	เอฟเอ็ม	èf-èm
Managing Director	เอ็มดี	èm-dii
American University Alumni	เอยูเอ	ə-yuu-ə
Sun protection factor	เอสพีเอฟ	es-pii-ef
Alpha Hydroxy Acid	เอเอชเอ	ee-eet-chee-ee
ante meridiem	เอเอ็ม	ee-em
Asian Institute of Technology	เอไอที	ee-ai-tii
over time	โอที	oo-tii
Organization of Petroleum Exporting Countries	โอเปค	o-bpèk
out-patient department	โอพีดี	oo-bpii-dii
Intelligence Quotient	ไอคิว	ai-kiu
integrated circuit	ไอซี	ai-sii
I Seek You	ไอซีคิว	ai-sii-kiu
intensive care unit	ไอซียู	ai-sii-yuu
informational technology	ไอที	ai-tii
International Monetary Fund	ไอเอ็มเอฟ	ai-em-ef
integrated services digital network	ไอเอสดีเอ็น	ai-ee-də-en
International Standard Book Number	ไอเอสบีเอ็น	ai-ee-bii-en
International Standard Serial Number	ไอเอสเอสเอ็น	ai-ee-s-ee-n
International Organization for Standardization	ไอเอสโอ	ai-ee-soo
helicopter	ฮ.	hɔɔ
World Health Organization	ฮู	huu
parking lot	สถานที่จอดรถ	sà-tǎan-tîi-jɔ̀ɔd-rót
communication tool	เครื่องมือสื่อสาร	khrʉ̂aŋ-mʉʉ-sʉ̀-sǎan
sanitary ware	เครื่องสุขภัณฑ์	khrʉ̂aŋ-sùk-pan
stereo	เครื่องเสียง	khrʉ̂aŋ-sǐaŋ
clothes dryers	เครื่องอบผ้า	khrʉ̂aŋ-ɔp-páa
facilities	เครื่องอำนวยความสะดวก	khrʉ̂aŋ-am-nua-y-kwaam-sa-dua-k
communication center	ศูนย์การคมนาคม	sǔun-gaan-kom-na-kom
manufacturing center	ศูนย์การผลิต	sun-gaan-pà-lìt
communication center	ศูนย์การสื่อสาร	sǔun-gaan-sʉ̀ʉ-sǎan
information center	ศูนย์ข้อมูลข่าวสาร	sùun-kʰɔ̂ɔ-muu-kʰàao-sǎan
ad hoc center	ศูนย์เฉพาะกิจ	sǔun-chə-paak-git
commanding center	ศูนย์บัญชาการ	sǔun-ban-chaa-gaan
public place	สถานที่สาธารณะ	sà-tǎan-tîi-sǎa-taa-rà-ná
construction site	สถานที่ก่อสร้าง	sà-tǎan-tîi-gɔ̀ɔ-sâaŋ
video player	เครื่องเล่นวีดีโอเทป	khrʉ̂aŋ-lên-wii-dii-oo-thêep
detention center	สถานกักกัน	sà-tǎan-gàk-gan
scene of the accident	สถานที่เกิดเหตุ	sà-tǎan-tîi-gə̀ət-hèet
attack	สถานที่เกิดเหตุ	sà-tǎan-tîi-gə̀ət-hèt
crime	สถานที่เกิดเหตุ	sà-tǎan-tîi-gə̀ət-hèt
resort	สถานที่ตากอากาศ	sà-tǎan-tîi-dtaa-gaa-gàat
tourist attraction	สถานที่ท่องเที่ยว	sà-tǎan-tîi-tông-tîiao
historic site	สถานที่โบราณ	sà-tǎan-tîi-boo-raan
workplace	สถานที่ประกอบการ	sà-tǎan-tîi-bpra-gɔ̀ɔp-gaan
address	สถานที่ติดต่อ	sà-tǎan-tîi-dtìt-dtɔ̀ɔ
sanatorium	สถานที่พักฟื้น	sà-tǎan-tîi-pák-fʉ̂un
official place	สถานที่ราชการ	sà-tǎan-tîi-raa-chá-gaan
day nursery	สถานที่รับเลี้ยงเด็ก	sà-tǎan-tìi-ráp-líiang-dèk
lathe	เครื่องกลึง	krʉ̂aŋ-gluŋ
consulate	สถานกงสุล	sà-tǎan-gong-sun
UPS	เครื่องทำไฟสำรอง	khrʉ̂aŋ-tam-fai-sam-rɔɔŋ
data entry equipment	เครื่องเก็บบันทึกข้อมูล	khrʉ̂aŋ-gèp-ban-túk-kɔ̂ɔ
machine	เครื่องจักร	khrʉ̂aŋ-jak
basketwork	เครื่องจักสาน	krʉ̂aŋ-jak-sǎan
fishing gear	เครื่องจับสัตว์น้ำ	krʉ̂aŋ-jàp-sàt-náam
card punch	เครื่องเจาะบัตร	khrʉ̂aŋ-jɔ̀-bàt
sprinkler	เครื่องฉีดน้ำสนามหญ้า	khrʉ̂aŋ-chîid-náam-sà-nǎam-yâa
washing machine	เครื่องซักผ้า	khrʉ̂aŋ-sák-páa
pottery	เครื่องดินเผา	khrʉ̂aŋ-din-pao
cooker hood	เครื่องดูดควัน	krʉ̂aŋ-dùud-kwan
vacuum cleaner	เครื่องดูดฝุ่น	krʉ̂aŋ-dùut-fùn
lawnmower	เครื่องตัดหญ้า	khrʉ̂aŋ-dtàt-yâa
pager	เครื่องวิทยุติดตามตัว	khrʉ̂aŋ-wit-ta-yu-dtìt-dtaam-dtua
heater	เครื่องทำความร้อน	khrʉ̂aŋ-tam-kwaam-rɔ́ɔn
cassette player	เครื่องเล่นเทป	khrʉ̂aŋ-lên-têep
laboursaving device	เครื่องทุ่นแรง	khrʉ̂aŋ-túŋ-rɛɛŋ
bioreactor	เครื่องปฏิกรณ์ชีวภาพ	krʉ̂aŋ-bpa-dtì-gan-chii-wa-phaap
nuclear reactor	เครื่องปฏิกรณ์ปรมาณู	krʉ̂aŋ-bpa-dtì-gan-bpa-ra-maa-nuu
diving apparatus	เครื่องประดาน้ำ	khrʉ̂aŋ-bpra-daa-náam
processor	เครื่องประมวลผล	khrʉ̂aŋ-bpra-mul-pɔɔn
medical device	เครื่องมือแพทย์	krʉ̂aŋ-mʉʉ-pɛɛ
laboratory instruments	เครื่องมือวิทยาศาสตร์	khrʉ̂aŋ-mʉʉ-wít-tá-yaa-sà
ventilator	เครื่องระบายอากาศ	khrʉ̂aŋ-rá-bai-aa-gàat
ironing machine	เครื่องรีดผ้า	khrʉ̂aŋ-rîid-pâa
game player	เครื่องเล่นเกม	khrʉ̂aŋ-lên-geem
CD player	เครื่องเล่นซีดี	khrʉ̂aŋ-len-sii-dii
place of entertainment	สถานที่บันเทิง	sà-tǎan-tîi-ban-tə̌ng
freezers	เครื่องทำความเย็น	khrʉ̂aŋ-tam-kwaam-yen
badness	สิ่งเลวร้าย	sìŋ-ləəo-ráay
abnormality	สิ่งผิดปกติ	sìŋ-pìt-bpà-gà-dtì
wonder	สิ่งมหัศจรรย์	sìŋ-má-hàt-jan
restraint	สิ่งยึดเหนี่ยว	sìŋ-yʉ̀t-nìao
disturbance	สิ่งรบกวน	sìŋ-rop-guan
surroundings	สิ่งรอบข้าง	sìŋ-rôop-kâaŋ
surroundings	สิ่งรอบตัว	sìŋ-rɔ̂ɔp-dtua
mystery	สิ่งเร้นลับ	sìŋ-reen-làp
motivation	สิ่งเร้า	sìŋ-ráo
worthless thing	สิ่งไร้ค่า	sìŋ-rái-kâa
absurdity	สิ่งไร้สาระ	sìŋ-ráai-sǎa-rá
illusion	สิ่งลวงตา	sìŋ-luaŋ-dtaa
holy place	สถานที่ศักดิ์สิทธิ์	sà-tǎan-tîi-sàk-sìt
mystery	สิ่งลี้ลับ	sìŋ-lîi-láp
buildings	สิ่งปลูกสร้าง	sìŋ-bplùuk-sâaŋ
impossibility	สิ่งสุดวิสัย	sìŋ-sùd-wí-sǎi
narcotic	สิ่งเสพติด	sìŋ-sèp-dtìt
treasure	สิ่งหวงแหน	sìŋ-waŋ-hɛ̌ɛ
restraint	สิ่งเหนี่ยวรั้ง	sìŋ-nìiao-raŋ
incredibility	สิ่งเหลือเชื่อ	sìŋ-lʉ̌a-chʉ̂a
facilities	สิ่งอำนวยความสะดวก	sìŋ-am-nuan-kwaam-sà-duan
agricultural equipment	อุปกรณ์การเกษตร	u-bpà-gon gaan gà-sèt
stationery	อุปกรณ์การเขียน	u-bpok-gaan-kǎ-ian
luggage	อุปกรณ์การเดินทาง	u-bpà-gon-gaan-dəən-taang
medical appliance	อุปกรณ์การแพทย์	up-gɔɔn-gaan-pɛɛt
teaching aid	อุปกรณ์การเรียนการสอน	ùp-gɔɔn-gaan-rian-gaan-sɔɔn
precious thing	สิ่งล้ำค่า	sìŋ-lám-kàa
health park	สวนสุขภาพ	suan-suk-phaap
dhamma retreat	สถานปฏิบัติธรรม	sà-tǎan-bpa-dtì-bat-tam
place of amusement	สถานเริงรมย์	sà-tǎan-rɛɛŋ-rom
agricultural garden	สวนเกษตร	sǔan-gà-sèt
kitchen garden	สวนครัว	suan-krua
amusement park	สวนเด็กเล่น	suan-dèk-lên
bird park	สวนนก	suan-nok
ocean park	สวนน้ำ	suan-nam
wood lot	สวนป่า	sǔan-bpàa
mixed garden	สวนผสม	sǔan-pà-sǒm
vegetable garden	สวนผัก	sǔan-pàk
botanical garden	สวนพฤกษศาสตร์	sǔan-prʉ́k-sàat
new matter	สิ่งแปลกใหม่	sìŋ-bplɛ̀ɛk-jài
flower garden	สวนไม้ดอก	suan-mái-dɔ̀ɔk
adulterated thing	สิ่งแปลกปลอม	sìŋ-bplɛɛk-bplɔɔm
small park	สวนหย่อม	suan-yɔ̀m
food center	สวนอาหาร	sǔan-aa-hǎan
necessities	สิ่งจำเป็น	sìŋ-jam-bpen
temptation	สิ่งจูงใจ	sìŋ-juuŋ-jai
compensation	สิ่งชดเชย	sìŋ-chód-chəəy
good	สิ่งดีงาม	sìŋ-dii-ngaam
temptation	สิ่งล่อใจ	sìŋ-lɔ̂ɔ-jai
attraction	สิ่งดึงดูดใจ	sìŋ-dʉŋ-dùut-jai
prohibition	สิ่งต้องห้าม	sìŋ-dtɔ̂ŋ-hâam
printed matter	สิ่งตีพิมพ์	sìŋ-dtii-pim
textile	สิ่งทอ	sìŋ-tɔɔ
amplifier	เครื่องกระจายเสียง	khrʉ̂aŋ-gra-jaai-sǐaŋ
park	สวนสาธารณะ	sǔan-saa-taa-rá-na
penalty	ลูกโทษ	lûuk-toot
penalty kick	การเตะลูกโทษ	gaan-dtè-lûuk-tôot
offside	การล้ำหน้า	gaan-lám-nâa
dribble	เลี้ยงลูก	líaŋ-lûuk
red card	ใบแดง	bai-dɛɛŋ
yellow card	ใบเหลือง	bai-lʉ̌aŋ
linesman's flag	ธงกำกับเส้น	toŋ-gam-gàp-sên
linesman	ผู้กำกับเส้น	pûu-gam-gàp-sên
cooker hood	เครื่องดูดควัน	khrʉ̂aŋ-dùut-kuan
whisk	ที่ตีไข่	tîi-dtii-kài
ground floor	ชั้นล่าง	chán-lâaŋ
parapet	ราวลูกกรง	raa-lúuk-groŋ
awning	ม่านบังแดด	màan-baŋ-dɛ̀ɛt
garage	โรงรถ	rooŋ-rót
scatter cushion	หมอนอิง	mɔɔn-iŋ
garage	อู่ซ่อมรถ	ù-sɔ̂ɔm-rót
hairstyle	ทรงผม	song-pom
manuscript	ต้นฉบับ	dtôn-chà-bàp
intensive care unit	แผนกผู้ป่วยหนัก	pɛ̂ɛn-gà-pʉ̂-bpùay-nàk
drawing board	กระดาษเขียนแบบ	gra-dàat-kǐan-bɛ̀p
clutch-type pencil	ดินสอกด	din-sɔ̀ɔk-gòd
pencil lead	ไส้ดินสอ	sai-din-sɔ̌
earpiece	หูฟัง	hǔu-faŋ
mouthpiece	กระบอกโทรศัพท์	gra-bɔ̀ɔk-too-rá-sàp
emergency numbers	หมายเลขฉุกเฉิน	măai-lek-chùk-chən
hour hand	เข็มชั่วโมง	khem-chûa-mooŋ
minute hand	เข็มนาที	khem-naa-tii
canned food	อาหารกระป๋อง	aa-hǎan-gra-bpɔɔŋ
